delib,partyid,mean_pol,se_pol,n
0,1,35.68569958847737,3.4690109183832583,36
0,2,24.24252136752137,2.375254071478924,52
1,1,24.71902937420179,1.9622219279342767,58
1,2,14.64334705075446,1.8340669447435274,54
